كد درس,نام درس,كد ارائه كلاس درس,استاد,زمانبندي تشكيل كلاس,مقطع ارائه درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي
4627129689,رياضي‌ مهندسي‌,163330270,,,كارشناسي پيوسته,نظري,3,0
4627129689,رياضي‌ مهندسي‌,163330269,,,كارشناسي پيوسته,نظري,3,0
4627129689,رياضي‌ مهندسي‌,163330268,,,كارشناسي پيوسته,نظري,3,0
4627129689,رياضي‌ مهندسي‌,163330267,,دوشنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4627129689,رياضي‌ مهندسي‌,163330266,,دوشنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628147685,مدار‌هاي الكتريكي,163330237,حسن عدلو,يكشنبه  از 14:45 تا 17:00 ,كارشناسي پيوسته,نظري,3,0
4627129689,رياضي‌ مهندسي‌,163330265,خديجه ابول پور,شنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4627129689,رياضي‌ مهندسي‌,163330264,خديجه ابول پور,شنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628171999,سيستمهاي اطلاعات مديريت,163330322,,يكشنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628171999,سيستمهاي اطلاعات مديريت,163330323,منصوره زارع,شنبه  از 12:30 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
4628171999,سيستمهاي اطلاعات مديريت,163330324,منصوره زارع,چهارشنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628147685,مدار‌هاي الكتريكي,163330236,,,كارشناسي پيوسته,نظري,3,0
4628147685,مدار‌هاي الكتريكي,163330235,,,كارشناسي پيوسته,نظري,3,0
4628147685,مدار‌هاي الكتريكي,163330234,,,كارشناسي پيوسته,نظري,3,0
4628117515,تحليل‌ و طراحي سيستم ها,163330233,,دوشنبه  از 15:15 تا 17:30 ,كارشناسي پيوسته,نظري,3,0
4628117515,تحليل‌ و طراحي سيستم ها,163330232,,دوشنبه  از 13:00 تا 15:15 ,كارشناسي پيوسته,نظري,3,0
4628117515,تحليل‌ و طراحي سيستم ها,163330231,,,كارشناسي ناپيوسته,نظري,3,0
4628117515,تحليل‌ و طراحي سيستم ها,163330230,,دوشنبه  از 14:45 تا 17:00 ,كارشناسي پيوسته,نظري,3,0
4628117515,تحليل‌ و طراحي سيستم ها,163330229,,دوشنبه  از 12:30 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
4628117515,تحليل‌ و طراحي سيستم ها,163330228,,يكشنبه  از 14:45 تا 17:00 ,كارشناسي پيوسته,نظري,3,0
4628117515,تحليل‌ و طراحي سيستم ها,163330227,,يكشنبه  از 12:30 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
5990181603,آزمايشگاه نرم افزارهاي اداري,821-20,,,كارداني پيوسته,عملي,0,1
4628132653,ساختمان‌هاي داده,163330226,,,كارشناسي پيوسته,نظري,3,0
4628132653,ساختمان‌هاي داده,163330225,امين اسكندري,دوشنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628132653,ساختمان‌هاي داده,163330224,امين اسكندري,دوشنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628111667,برنامه‌سازي پيشرفته,163330223,,,كارشناسي پيوسته,نظري,3,0
4628111667,برنامه‌سازي پيشرفته,163330222,,,كارشناسي پيوسته,نظري,3,0
4628111667,برنامه‌سازي پيشرفته,163330221,,,كارشناسي پيوسته,نظري,3,0
4628160442,كارگاه كامپيوتر,163330220,سميه رحيمي,چهارشنبه  از 15:30 تا 17:00 ,كارشناسي پيوسته,عملي,0,1
4628160442,كارگاه كامپيوتر,163330219,سميه رحيمي,پنج شنبه  از 12:30 تا 14:00 ,كارشناسي پيوسته,عملي,0,1
4628160442,كارگاه كامپيوتر,163330218,سميه رحيمي,پنج شنبه  از 14:00 تا 15:30 ,كارشناسي پيوسته,عملي,0,1
4628160442,كارگاه كامپيوتر,163330217,سميه رحيمي,پنج شنبه  از 15:30 تا 17:00 ,كارشناسي پيوسته,عملي,0,1
4628160442,كارگاه كامپيوتر,163330216,آرزو خسروي,چهارشنبه  از 07:30 تا 09:00 ,كارشناسي پيوسته,عملي,0,1
4628160442,كارگاه كامپيوتر,163330215,آرزو خسروي,چهارشنبه  از 09:00 تا 10:30 ,كارشناسي پيوسته,عملي,0,1
4628160442,كارگاه كامپيوتر,163330214,آرزو خسروي,چهارشنبه  از 10:30 تا 12:00 ,كارشناسي پيوسته,عملي,0,1
4628160442,كارگاه كامپيوتر,163330213,آرزو خسروي,چهارشنبه  از 12:30 تا 14:00 ,كارشناسي پيوسته,عملي,0,1
4628160442,كارگاه كامپيوتر,163330212,,,كارشناسي پيوسته,عملي,0,1
4628160442,كارگاه كامپيوتر,163330211,,,كارشناسي پيوسته,عملي,0,1
4628160442,كارگاه كامپيوتر,163330210,,,كارشناسي پيوسته,عملي,0,1
4628160442,كارگاه كامپيوتر,163330209,,,كارشناسي پيوسته,عملي,0,1
4628147873,مدارهاي منطقي,163330208,,يكشنبه  از 14:45 تا 17:00 ,كارشناسي پيوسته,نظري,3,0
4628147873,مدارهاي منطقي,163330207,,يكشنبه  از 12:30 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
4628107113,اقتصاد مهندسي,163330206,ليلا نوراني,شنبه  از 12:30 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
4628107113,اقتصاد مهندسي,163330205,ناصر پرهيزگار,شنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628105928,اصول مديريت و برنامه ريزي راهبردهاي فناوري اطلاعات,163330204,,,كارشناسي پيوسته,نظري,3,0
4628105928,اصول مديريت و برنامه ريزي راهبردهاي فناوري اطلاعات,163330203,,يكشنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628105776,اصول فناوري اطلاعات,163330202,,سه شنبه  از 14:45 تا 17:00 ,كارشناسي پيوسته,نظري,3,0
4628105776,اصول فناوري اطلاعات,163330201,,چهارشنبه  از 14:45 تا 17:30 ,كارشناسي پيوسته,نظري,3,0
4628105776,اصول فناوري اطلاعات,163330200,,چهارشنبه  از 15:15 تا 17:00 ,كارشناسي پيوسته,نظري,3,0
4628105776,اصول فناوري اطلاعات,163330199,,سه شنبه  از 15:15 تا 17:30 ,كارشناسي پيوسته,نظري,3,0
4628102924,آزمايشگاه مهندسي نرم‌افزار ,163330198,اسما رحيمي,شنبه  از 17:00 تا 18:30 ,كارشناسي پيوسته,عملي,0,1
4628102924,آزمايشگاه مهندسي نرم‌افزار ,163330197,اسما رحيمي,يكشنبه  از 17:00 تا 18:30 ,كارشناسي پيوسته,عملي,0,1
4628102924,آزمايشگاه مهندسي نرم‌افزار ,163330196,اسما رحيمي,دوشنبه  از 17:00 تا 18:30 ,كارشناسي پيوسته,عملي,0,1
4628102924,آزمايشگاه مهندسي نرم‌افزار ,163330195,اسما رحيمي,سه شنبه  از 17:00 تا 18:30 ,كارشناسي پيوسته,عملي,0,1
4628102924,آزمايشگاه مهندسي نرم‌افزار ,163330194,اسما رحيمي,چهارشنبه  از 17:00 تا 18:30 ,كارشناسي پيوسته,عملي,0,1
4628181640,آزمايشكاه مدارهاي منطقي و معماري كامپيوتر,163330193,مهدي قائمي اميري,دوشنبه  از 17:00 تا 18:30 ,كارشناسي پيوسته,عملي,0,1
4628181640,آزمايشكاه مدارهاي منطقي و معماري كامپيوتر,163330192,مهدي قائمي اميري,دوشنبه  از 15:30 تا 17:00 ,كارشناسي پيوسته,عملي,0,1
4628181640,آزمايشكاه مدارهاي منطقي و معماري كامپيوتر,163330191,مهدي قائمي اميري,دوشنبه  از 14:00 تا 15:30 ,كارشناسي پيوسته,عملي,0,1
4628181640,آزمايشكاه مدارهاي منطقي و معماري كامپيوتر,163330190,مهدي قائمي اميري,يكشنبه  از 17:00 تا 18:30 ,كارشناسي پيوسته,عملي,0,1
4628181640,آزمايشكاه مدارهاي منطقي و معماري كامپيوتر,163330189,مهدي قائمي اميري,يكشنبه  از 15:30 تا 17:00 ,كارشناسي پيوسته,عملي,0,1
4628181640,آزمايشكاه مدارهاي منطقي و معماري كامپيوتر,163330188,مهدي قائمي اميري,يكشنبه  از 14:00 تا 15:30 ,كارشناسي پيوسته,عملي,0,1
4628101498,آزمايشگاه شبكه ‌هاي‌ كامپيوتري‌,163330187,اسما رحيمي,پنج شنبه  از 09:00 تا 10:30 ,كارشناسي پيوسته,عملي,0,1
4628101498,آزمايشگاه شبكه ‌هاي‌ كامپيوتري‌,163330186,اسما رحيمي,پنج شنبه  از 10:30 تا 12:00 ,كارشناسي پيوسته,عملي,0,1
4628101498,آزمايشگاه شبكه ‌هاي‌ كامپيوتري‌,163330185,اسما رحيمي,پنج شنبه  از 12:30 تا 14:00 ,كارشناسي پيوسته,عملي,0,1
4628101498,آزمايشگاه شبكه ‌هاي‌ كامپيوتري‌,163330184,اسما رحيمي,پنج شنبه  از 14:00 تا 15:30 ,كارشناسي پيوسته,عملي,0,1
4628101498,آزمايشگاه شبكه ‌هاي‌ كامپيوتري‌,163330183,اسما رحيمي,پنج شنبه  از 15:30 تا 17:00 ,كارشناسي پيوسته,عملي,0,1
4628102246,آزمايشگاه سيستم‌هاي عامل,163330182,,,كارشناسي پيوسته,عملي,0,1
4628102246,آزمايشگاه سيستم‌هاي عامل,163330181,آيدين برزگر,دوشنبه  از 12:30 تا 14:00 ,كارشناسي پيوسته,عملي,0,1
4628102246,آزمايشگاه سيستم‌هاي عامل,163330180,آيدين برزگر,دوشنبه  از 10:30 تا 12:00 ,كارشناسي پيوسته,عملي,0,1
